                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1858,                      2,                 1.5143,                0.43354,                0.39948,                0.34527,                0.15508,                 1.7225,                 2.7117,                 1.8679,             0.00055186,             0.00055186,             0.00055186
                      2,                 1.1994,                 2.0023,                  1.523,                0.32528,                0.42124,                0.33369,                0.17385,                 1.5456,                 2.6268,                 1.7237,             0.00074204,             0.00074204,             0.00074204
                      3,                 1.1692,                 1.9151,                    1.5,                0.42673,                0.48822,                0.39646,                0.21253,                  1.517,                 2.3803,                 1.6839,             0.00056549,             0.00056549,             0.00056549
