                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2607,                  2.445,                 1.6417,                0.39636,                0.34694,                0.21756,                0.09727,                 1.5732,                 3.0629,                 1.8492,              0.0032963,              0.0032963,              0.0032963
                      2,                 1.1532,                 1.8859,                 1.5183,                0.39378,                0.38367,                0.25856,                0.08972,                 2.1198,                 2.8901,                 2.5068,              0.0066078,              0.0066078,              0.0066078
                      3,                 1.2331,                  1.771,                 1.5707,                0.16558,                0.33061,                0.09395,                0.03212,                 2.1747,                 3.9112,                 2.7646,              0.0098972,              0.0098972,              0.0098972
                      4,                 1.2713,                 1.7289,                 1.6004,                0.26946,                0.24239,                0.17322,                0.06512,                 2.0708,                 3.0492,                 2.1307,               0.009901,               0.009901,               0.009901
                      5,                 1.2389,                 1.6825,                 1.5822,                0.28693,                0.35918,                0.20689,                0.08113,                 1.9231,                  2.884,                 2.3022,               0.009901,               0.009901,               0.009901
                      6,                 1.2032,                 1.5885,                 1.5626,                0.47031,                0.37551,                0.32194,                 0.1305,                 1.8058,                 2.5482,                 2.0751,               0.009868,               0.009868,               0.009868
                      7,                 1.1829,                 1.5345,                 1.5486,                 0.5871,                    0.4,                0.43882,                0.19275,                 1.7947,                 2.0606,                 1.9536,               0.009835,               0.009835,               0.009835
                      8,                 1.1562,                 1.4945,                  1.527,                0.48206,                0.45714,                0.41688,                0.19862,                 1.7197,                  2.011,                 1.8834,               0.009802,               0.009802,               0.009802
                      9,                 1.1335,                 1.4675,                 1.5067,                0.46866,                0.41633,                0.38511,                0.19734,                 1.6466,                 2.2613,                 1.9228,               0.009769,               0.009769,               0.009769
                     10,                 1.1225,                 1.4392,                 1.5057,                0.45453,                0.44555,                0.37534,                0.19018,                 1.6614,                 2.2185,                 1.8824,               0.009736,               0.009736,               0.009736
                     11,                  1.103,                 1.4296,                 1.4884,                0.56243,                0.47755,                0.47156,                0.22898,                  1.691,                 2.0312,                 1.8397,               0.009703,               0.009703,               0.009703
                     12,                 1.1017,                  1.406,                 1.4853,                 0.3658,                0.43265,                0.35201,                0.15945,                 1.7069,                 2.1429,                 1.8312,                0.00967,                0.00967,                0.00967
                     13,                  1.083,                 1.3841,                 1.4724,                0.51631,                0.47055,                0.45497,                0.24533,                 1.5179,                 1.9094,                 1.7237,               0.009637,               0.009637,               0.009637
                     14,                 1.0778,                 1.3616,                 1.4669,                0.60764,                0.50204,                0.54709,                0.28408,                 1.5626,                 1.6571,                 1.7431,               0.009604,               0.009604,               0.009604
                     15,                 1.0668,                 1.3348,                 1.4613,                0.47478,                0.44277,                0.41678,                0.23274,                 1.5874,                 1.9839,                 1.7244,               0.009571,               0.009571,               0.009571
                     16,                 1.0601,                 1.3233,                 1.4525,                0.55455,                 0.5102,                0.52394,                0.27924,                 1.5678,                 1.8069,                  1.728,               0.009538,               0.009538,               0.009538
                     17,                 1.0469,                  1.308,                 1.4368,                 0.5621,                0.51429,                0.51537,                0.26964,                 1.4876,                 1.7376,                 1.6897,               0.009505,               0.009505,               0.009505
                     18,                 1.0213,                 1.2818,                 1.4234,                0.55481,                0.62449,                0.57476,                0.31247,                 1.5837,                 1.5994,                 1.7563,               0.009472,               0.009472,               0.009472
                     19,                 1.0318,                 1.2737,                 1.4301,                0.58804,                 0.4661,                0.47813,                 0.2546,                 1.5823,                 1.9188,                 1.7927,               0.009439,               0.009439,               0.009439
                     20,                 1.0308,                 1.2472,                 1.4231,                0.63541,                0.48373,                0.49872,                0.26861,                 1.5272,                 1.7501,                 1.7203,               0.009406,               0.009406,               0.009406
