                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.89928,                 1.0661,                 1.3272,                0.63925,                0.61477,                0.60009,                 0.3533,                 1.4255,                  1.599,                 1.6641,              0.0007328,              0.0007328,              0.0007328
                     35,                0.89617,                 1.0415,                 1.3281,                0.56488,                0.59184,                0.55445,                0.31877,                 1.4427,                 1.7281,                 1.6574,              0.0006932,              0.0006932,              0.0006932
                     36,                0.87967,                 1.0367,                 1.3267,                0.66281,                 0.5857,                0.61488,                0.36047,                 1.4366,                 1.6293,                 1.6931,              0.0006536,              0.0006536,              0.0006536
                     37,                 0.8759,                 1.0063,                 1.3195,                0.66149,                0.58776,                0.60236,                0.34135,                 1.4764,                 1.6894,                 1.7189,               0.000614,               0.000614,               0.000614
                     38,                0.86755,                 1.0049,                 1.3133,                0.68501,                0.56327,                0.60708,                0.35183,                 1.4829,                  1.636,                 1.6953,              0.0005744,              0.0005744,              0.0005744
                     39,                0.86388,                0.98791,                 1.3079,                0.63171,                0.65306,                0.64956,                0.38248,                 1.3895,                   1.57,                 1.5806,              0.0005348,              0.0005348,              0.0005348
                     40,                0.85805,                0.97938,                 1.3019,                0.67318,                0.58851,                0.60729,                0.35357,                 1.4607,                 1.6412,                 1.6776,              0.0004952,              0.0004952,              0.0004952
                     41,                0.94565,                0.97742,                 1.4058,                0.67093,                0.59592,                0.62373,                0.37169,                 1.4205,                  1.583,                 1.6235,              0.0004556,              0.0004556,              0.0004556
                     42,                0.91589,                0.90595,                   1.38,                0.64489,                0.61522,                0.62503,                0.36087,                 1.4517,                 1.6209,                 1.6714,               0.000416,               0.000416,               0.000416
                     43,                0.90378,                0.88232,                 1.3685,                0.68929,                0.59592,                0.63277,                0.37402,                 1.4305,                 1.5518,                 1.6632,              0.0003764,              0.0003764,              0.0003764
                     44,                0.88697,                 0.8475,                 1.3639,                0.72007,                0.55647,                0.61848,                0.36659,                   1.46,                 1.6253,                 1.7084,              0.0003368,              0.0003368,              0.0003368
                     45,                0.86969,                0.82749,                 1.3387,                0.74075,                0.57959,                0.61658,                0.36711,                 1.4616,                 1.6537,                 1.6923,              0.0002972,              0.0002972,              0.0002972
                     46,                0.84978,                 0.7908,                 1.3256,                0.67667,                0.60816,                0.62446,                0.36763,                 1.4739,                 1.6493,                 1.7141,              0.0002576,              0.0002576,              0.0002576
                     47,                0.83696,                0.77228,                 1.3104,                0.72893,                0.55102,                0.62199,                0.37569,                 1.4481,                 1.5609,                  1.684,               0.000218,               0.000218,               0.000218
                     48,                0.83365,                0.75904,                 1.3092,                0.77594,                0.53878,                0.62502,                 0.3733,                 1.4903,                 1.5981,                 1.7247,              0.0001784,              0.0001784,              0.0001784
                     49,                0.82055,                0.72992,                  1.296,                0.62939,                0.64082,                0.62892,                 0.3759,                 1.4782,                 1.5597,                 1.7156,              0.0001388,              0.0001388,              0.0001388
                     50,                0.80002,                0.71728,                  1.274,                0.63701,                0.60167,                0.61734,                0.36693,                 1.4859,                 1.6122,                 1.7322,               9.92e-05,               9.92e-05,               9.92e-05
